value	key
azure	Product
windows xp	Product
win xp	Product
windows vista	Product
win vista	Product
windows 7	Product
win 7	Product
windows 8	Product
win 8	Product
windows 10	Product
win 10	Product
windows mail	Product
visual studio 2017	Product
windows defender	Product
office 2007	Product
office 365	Product
office 2013	Product
office 2010	Product
office 2019	Product
word	Product
powerpoint	Product
excel	Product
vs code	Product
edge	Product
internet explorer	Product
xbox	Product
ie	Product
surface book	Product
surface laptop	Product
surface pro	Product
typecover	Product
surface headphones	Product
bill gates	Boss
satya nadella	Boss
steve ballmer	Boss
